"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"14759","OPTCUR","USDINR","OPTION","30-May-2025",88.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"14760","OPTCUR","USDINR","OPTION","30-May-2025",88.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.4325,3.1225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.0025,"USDINR"
"14762","OPTCUR","USDINR","OPTION","30-May-2025",88.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.68,3.37,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.25,"USDINR"
"14763","OPTCUR","USDINR","OPTION","30-May-2025",88.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"14778","OPTCUR","USDINR","OPTION","30-May-2025",90.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.6725,5.3625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.825,"USDINR"
"14787","OPTCUR","USDINR","OPTION","30-May-2025",91.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"14791","OPTCUR","USDINR","OPTION","30-May-2025",92.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"14797","OPTCUR","USDINR","OPTION","30-May-2025",92.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.415,7.105,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.55,"USDINR"
"14798","OPTCUR","USDINR","OPTION","30-May-2025",92.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"14812","OPTCUR","EURINR","OPTION","30-May-2025",89.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",8.72,10.675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.87,"EURINR"
"12804","OPTCUR","JPYINR","OPTION","30-May-2025",62.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.295,2.475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.7975,"JPYINR"
"6221","OPTCUR","GBPINR","OPTION","16-May-2025",119.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",3.6925,5.8125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.6925,"GBPINR"
"4475","OPTCUR","EURINR","OPTION","30-May-2025",95.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.065,0.3,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4425,"EURINR"
"8331","OPTCUR","GBPINR","OPTION","30-May-2025",112.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",1.59,3.125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.765,"GBPINR"
"10068","OPTCUR","JPYINR","OPTION","30-May-2025",58.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.1125,0.4275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4975,"JPYINR"
